query,intent
수시,1
수시 알려줘,1
수시 알려주세요,1
수시 알려줘봐,1
수시 알려줘요,1
수시에 대해서 알려줘,1
수시에 대해서 알려주세요,1
수시에 관해서 알려줘,1
수시를 알려줘,1
수시전형 안내하기,1
수시전형 안내하기 알려줘,1
수시전형 안내하기 알려주세요,1
수시전형 안내하기 알려줘봐,1
수시전형 안내하기 알려줘요,1
수시전형 안내하기에 대해서 알려줘,1
수시전형 안내하기에 대해서 알려주세요,1
수시전형 안내하기에 관해서 알려줘,1
수시전형 안내하기를 알려줘,1
수시 전형일정 및 모집 인원 안내,1
수시 전형일정 및 모집 인원 안내 알려줘,1
수시 전형일정 및 모집 인원 안내 알려주세요,1
수시 전형일정 및 모집 인원 안내 알려줘봐,1
수시 전형일정 및 모집 인원 안내 알려줘요,1
수시 전형일정 및 모집 인원 안내에 대해서 알려줘,1
수시 전형일정 및 모집 인원 안내에 대해서 알려주세요,1
수시 전형일정 및 모집 인원 안내에 관해서 알려줘,1
수시 전형일정 및 모집 인원 안내를 알려줘,1
학생부 교과전형 안내,1
학생부 교과전형 안내 알려줘,1
학생부 교과전형 안내 알려주세요,1
학생부 교과전형 안내 알려줘봐,1
학생부 교과전형 안내 알려줘요,1
학생부 교과전형 안내에 대해서 알려줘,1
학생부 교과전형 안내에 대해서 알려주세요,1
학생부 교과전형 안내에 관해서 알려줘,1
학생부 교과전형 안내를 알려줘,1
수시 교과지원,1
수시 교과지원 알려줘,1
수시 교과지원 알려주세요,1
수시 교과지원 알려줘봐,1
수시 교과지원 알려줘요,1
수시 교과지원에 대해서 알려줘,1
수시 교과지원에 대해서 알려주세요,1
수시 교과지원에 관해서 알려줘,1
수시 교과지원를 알려줘,1
수시교과지원,1
수시교과지원 알려줘,1
수시교과지원 알려주세요,1
수시교과지원 알려줘봐,1
수시교과지원 알려줘요,1
수시교과지원에 대해서 알려줘,1
수시교과지원에 대해서 알려주세요,1
수시교과지원에 관해서 알려줘,1
수시교과지원를 알려줘,1
수시 교과,1
수시 교과 알려줘,1
수시 교과 알려주세요,1
수시 교과 알려줘봐,1
수시 교과 알려줘요,1
수시 교과에 대해서 알려줘,1
수시 교과에 대해서 알려주세요,1
수시 교과에 관해서 알려줘,1
수시 교과를 알려줘,1
수시교과,1
수시교과 알려줘,1
수시교과 알려주세요,1
수시교과 알려줘봐,1
수시교과 알려줘요,1
수시교과에 대해서 알려줘,1
수시교과에 대해서 알려주세요,1
수시교과에 관해서 알려줘,1
수시교과를 알려줘,1
교과,1
교과 알려줘,1
교과 알려주세요,1
교과 알려줘봐,1
교과 알려줘요,1
교과에 대해서 알려줘,1
교과에 대해서 알려주세요,1
교과에 관해서 알려줘,1
교과를 알려줘,1
교과지원,1
교과지원 알려줘,1
교과지원 알려주세요,1
교과지원 알려줘봐,1
교과지원 알려줘요,1
